1:          ['0', 'o', '0', '8', '5', 'e', 'a', '0']
829:          ['i', '1', 'z', 'v', 'p', 's', 'c', 'n']
830:          ['p', 'r', 'e', 'k', 'x', '9', 'u', 'k']
831:          ['4', 'p', 't', 'n', 'd', 'l', '8', 'c']
832:          ['4', 'c', 'a', 'b', '6', 'd', '3', 'b']
833:          ['n', 'k', '0', 'g', 'y', 'v', 'c', 'l']
834:          ['7', 'u', 'a', 'd', 'l', 'i', 'r', 'z']
835:          ['h', 'g', 'r', 'e', '3', 'a', '8', 'q']
836:          ['9', 'd', 'p', '9', 'a', '9', 'g', 'k']
837:          ['z', '5', '4', 'a', 'b', '3', 'j', '9']
838:          ['s', 'q', 'd', 's', 'k', 'w', 'l', 'p']
839:          ['w', '2', 'e', '6', 'o', 'j', '9', 'j']
840:          ['r', 'v', 'a', 'o', '9', 'a', 's', 'c']
841:          ['5', 'q', 'd', '7', 'q', 'a', '5', 'v']
842:          ['7', '0', '7', 's', '4', '8', 'y', 'b']
843:          ['3', '4', 's', 'x', 'j', 'v', 'a', 'c']
844:          ['s', 'v', 'i', 'm', 'h', 'v', 'k', '6']
845:          ['b', 't', 'l', 'j', 'q', 's', 'x', 'u']
846:          ['2', 'p', 'u', 'z', '9', 'g', 'e', 'b']
847:          ['7', 'd', 'l', 'i', '9', 'n', 's', 'o']
848:          ['p', '7', 'x', 'u', 'v', 'c', '5', 'r']
849:          ['l', 'e', 'b', '2', '8', 'e', 'u', 'w']
850:          ['0', 'd', 'w', 'f', '8', '3', 'y', '6']
851:          ['t', '4', 'u', '4', '8', 'o', 't', '9']
852:          ['x', '3', '2', '3', 'q', '6', 's', 'f']
853:          ['l', 'q', '7', 'j', '7', 'a', '6', 'k']
854:          ['9', 'a', 'i', 'a', '7', 'g', '9', 'x']
855:          ['q', 'v', 'f', 'n', 'a', 'l', 'p', 'e']
856:          ['c', 'a', 'd', 'a', 'q', 'i', '6', '4']
857:          ['0', '2', 'k', 'o', '6', 'l', 'c', 'v']
858:          ['9', 'j', 'o', '7', 'p', '8', 'u', 'k']
859:          ['o', 'c', 'p', 'g', '7', 'k', 'p', '4']
860:          ['o', 'f', 'q', 'o', 'k', '8', 'e', 'p']
861:          ['m', 'x', 'j', '6', 'i', 't', 'z', 'u']
862:          ['o', '4', '5', 'z', '6', 'u', 'x', '6']
863:          ['t', 'g', 'r', '0', '8', 'u', 'q', '6']
864:          ['c', 'k', 'c', '6', '3', 'c', '6', 'c']
865:          ['6', 'v', 'a', '7', '6', 'h', 'g', '7']
866:          ['f', '7', 'h', 'j', 'u', 'h', 'g', '0']
867:          ['5', 'a', '0', '5', '1', '8', 'y', '1']
868:          ['o', '5', 'h', 'j', '6', 'l', 'e', 'k']
869:          ['w', 'l', 'd', 'z', 'v', '2', 't', 'k']
870:          ['u', 'q', '6', 'b', '6', 'r', 'g', 'v']
871:          ['t', 'v', 'i', 'j', '5', 'g', 'n', 'q']
872:          ['z', 'o', 'c', '3', 'o', 'd', 'a', '2']
873:          ['o', 'l', '5', 'b', 'v', 'g', 'k', '5']
874:          ['2', '1', 'e', 'y', '9', 'v', '3', 's']
875:          ['d', '6', 'p', 'a', '8', 'r', 'e', '4']
876:          ['j', 'r', 'y', 's', 'z', 't', '7', 'x']
877:          ['t', '2', 'e', 'b', 'g', 'u', '5', 't']
878:          ['s', '3', 'n', 'i', 'h', 'b', 'e', '7']
879:          ['m', 'v', 'c', '6', '3', 'd', 'l', '1']
880:          ['m', 'c', '5', '2', '1', '0', 'u', 'i']
881:          ['7', 'p', 'u', 'a', 'v', '4', 'x', 'r']
882:          ['e', 'i', 'r', 's', 'v', 'u', 'f', 'h']
883:          ['9', 'j', 'd', 'r', '7', '8', 'g', '7']
884:          ['b', 'l', 'x', 'b', 'p', 'g', 'v', 'j']
885:          ['v', 'a', '6', 'b', 'u', '2', '9', '4']
886:          ['r', '8', '5', 'q', 't', 'k', 'g', 'q']
887:          ['l', 'j', 'r', '5', 'q', 'y', 'j', 'f']
888:          ['a', 'q', 's', '6', '2', 'w', 'r', 'd']
889:          ['a', '3', 'b', '6', '8', 'o', 'f', 'x']
890:          ['1', '0', 'k', 'w', 'u', 'f', 'v', '7']
891:          ['s', 'v', 'f', 'w', 'a', 'l', 'u', '5']
892:          ['q', 'd', 'v', 'u', 'q', '1', 'q', 's']
893:          ['h', 'd', '9', 'n', 'x', 'u', '8', 'x']
894:          ['m', 'q', 'y', 'k', '8', 'n', '0', 'f']
895:          ['9', 'i', 'r', '4', 'm', 'i', 'q', 'k']
896:          ['0', 'h', 'p', 'c', '4', 'q', 'j', 'f']
897:          ['n', 'p', 'c', 'j', 'n', 'p', 'h', 'j']
898:          ['p', '9', '0', '4', 'a', 'n', '5', 'z']
899:          ['5', '1', 'g', 'o', 't', '4', 'y', '5']
900:          ['6', 'r', 'g', 'w', 'q', 'm', 'w', '9']
901:          ['l', 'h', '5', '7', 'y', 'j', 'w', 'd']
902:          ['x', 'b', 'a', 'y', '2', 'r', 's', '8']
903:          ['l', '3', 'w', 'x', 'j', '2', '4', '7']
904:          ['8', '9', 'm', '5', 'l', 'd', 'i', 'z']
905:          ['9', 'z', 'e', 't', 'q', 'f', 'l', '8']
906:          ['c', 'f', '3', '6', '3', 'b', '6', '9']
907:          ['3', '0', 'r', '2', 'n', 'm', 'i', '8']
908:          ['z', 'x', 'h', 't', '2', '7', 's', 'f']
909:          ['r', 'd', '7', 'q', 'w', 'e', 'o', 'm']
910:          ['v', 'q', 'p', '2', 'z', 'c', 'l', '7']
911:          ['t', '9', 's', 'b', 'r', 'k', 'v', 'f']
912:          ['p', '4', 'n', '4', 'h', 'i', '6', 's']
913:          ['a', 's', '2', 'l', '3', 'q', 'k', 't']
914:          ['4', 'z', 'o', 'c', '6', '1', 'q', 'd']
915:          ['5', 'm', 'b', '0', 'g', '6', 'l', 'u']
916:          ['m', 's', 'z', 'p', 'z', 'i', 'b', 'd']
917:          ['i', 'z', 'x', 'r', '7', 'c', '2', 'm']
918:          ['b', 'h', 'b', 'z', 'i', '0', 'i', '9']
919:          ['e', 'a', 'i', 'x', '6', 'a', 'p', 'b']
920:          ['j', '6', 's', 'm', '9', 'k', 's', 'f']
921:          ['3', 'd', 'j', 'c', 'm', 'c', 'x', 'c']
922:          ['e', 'a', 'r', 'c', '5', '1', 'r', 't']
923:          ['a', 'w', 'a', 'h', '3', '0', 'w', 'd']
924:          ['f', 'l', 'r', 'j', '4', '2', 'd', 'r']
925:          ['6', 'k', '8', 'v', 't', '1', 'k', '0']
926:          ['y', 'w', 'd', 'w', 's', '7', 't', 'z']
927:          ['t', '8', 'n', 'z', 'g', '9', '0', 'd']
928:          ['4', 'w', 'e', 'w', '6', 'h', 't', 'v']
929:          ['c', '6', '7', 'd', '1', 'o', 'd', 'v']
930:          ['0', 'a', '4', '5', 'e', 'd', 'j', '8']
931:          ['z', '2', 'b', 'a', 'k', 'i', '5', '4']
932:          ['f', '4', '1', 'h', '4', 'b', '4', 'e']
933:          ['p', '6', 'z', '3', 'i', '8', 'd', 'j']
934:          ['y', 'u', '9', 'y', 'f', 'b', 'f', 'z']
935:          ['p', 't', 'd', '9', 't', 'v', 's', 'i']
936:          ['q', '8', 'p', '9', 'z', 'o', 'c', '6']
937:          ['4', 'o', 'd', '6', '3', 'q', 'd', 'r']
938:          ['d', '5', '2', '4', 'w', '0', 'v', '7']
939:          ['t', 'p', '7', 'z', '4', 's', 'b', 'x']
940:          ['u', 'e', 'b', 'w', 'j', 'd', '2', 'r']
941:          ['8', 'x', 't', 'z', '7', 'm', '0', 'f']
942:          ['c', 'j', 'q', '9', 'r', '2', 'k', '3']
943:          ['r', '8', 'd', '4', 'z', 'u', 'a', '3']
944:          ['b', 'g', 'l', '8', 'i', 'd', 's', 'c']
945:          ['5', 'o', 'd', 'a', '3', 'c', '6', 'o']
946:          ['b', '3', '5', '2', 'g', 'a', '4', '7']
947:          ['x', '5', '6', 'm', '4', 'y', '7', '6']
948:          ['y', '9', 'r', 's', 'n', 'a', 'd', 'a']
949:          ['h', 'q', '3', 'i', '6', 'q', 'v', '3']
950:          ['j', 'i', 'x', 'k', 'u', 'e', 'y', 'a']
951:          ['p', '5', 'y', 'l', 'i', 'o', 'c', 'i']
952:          ['o', 'd', 'e', 'm', '5', '1', 'k', 'e']
953:          ['d', 's', 'k', '0', 'l', '5', '7', 'j']
954:          ['3', 'c', '6', 'r', 'g', 'u', 'p', 'v']
955:          ['p', 'd', 'y', 't', 'o', 'q', 'x', 'd']
956:          ['h', 'o', 'h', '9', 'a', 'b', 'v', 'u']
957:          ['4', 'x', 'd', '4', '0', '6', 'o', 'q']
958:          ['t', '1', '4', 'c', 'a', 'q', 'l', '3']
959:          ['r', 'd', 'm', 'c', '9', '2', 'm', 'c']
960:          ['b', 'w', 'x', '4', 'k', 'r', '3', 't']
961:          ['u', '3', 'd', '5', 'a', 'm', 't', 'l']
962:          ['7', 'b', '5', 'b', 'l', '1', 'f', 'd']
963:          ['z', '6', 'n', 'h', '0', 'r', '0', 'c']
964:          ['d', 'y', 's', 't', 'q', 'o', 'j', 'u']
965:          ['6', 'e', 'a', 't', 'l', 'h', '2', 'a']
966:          ['3', 'y', 'u', '1', 'k', 'g', 'l', 'k']
967:          ['x', 'c', 'g', '0', 'y', 'w', '0', 'n']
968:          ['v', 't', '0', 'v', 'c', '6', '3', 'l']
969:          ['e', 'b', 'e', '4', 'v', '0', '8', 'a']
970:          ['4', 'q', 'k', '9', 'r', 'k', 't', '3']
971:          ['f', 'w', 'r', 'l', 'f', '9', 'x', 'q']
972:          ['i', 'f', 'u', '5', 't', '3', 'p', '2']
973:          ['u', '3', 's', '7', 'w', 'c', '6', 'i']
974:          ['4', 'h', 'a', 'v', 'k', 'b', 'g', 'x']
975:          ['f', 'd', 'f', 'u', '8', 'q', 'e', '8']
976:          ['q', 'h', '1', 'x', 'e', 'q', '0', 'r']
977:          ['e', 'c', '5', 'd', '1', 'o', 'd', '2']
978:          ['b', '2', 'x', '1', 'w', '0', '1', 'u']
979:          ['v', 'r', 'f', 'c', '7', 'f', 'h', 'v']
980:          ['h', '3', 'j', 'r', 'u', 't', 'h', '6']
981:          ['7', 'o', 'k', 'j', 'x', '4', 'b', 'c']
982:          ['v', 'z', 'b', 'd', 'v', 'c', '5', 'q']
983:          ['d', '1', 'r', 'd', 'a', '3', 'j', 'i']
984:          ['2', '7', 'b', 'x', '1', 'v', 'z', '3']
985:          ['p', 'f', 'l', 'r', 'p', 'z', 'm', 'y']
986:          ['o', 'p', 'q', 'r', 'v', '1', '7', '8']
987:          ['s', 'y', 'q', '7', 'z', 's', '6', 'k']
988:          ['g', 't', '8', 'l', '9', 'e', 'v', 'k']
989:          ['r', '9', 'z', '2', 'o', '6', '3', 'o']
990:          ['d', 'i', 'q', 'r', 'e', 'k', '2', 'm']
991:          ['d', 'q', 'k', '7', '9', '1', 'v', '8']
992:          ['6', 'q', 'w', 'n', 'g', 'm', 't', 'n']
993:          ['6', 'v', 'y', 'o', '2', 'i', 's', 'd']
994:          ['o', 'k', '6', 'k', 'r', '2', 'k', '6']
995:          ['0', 'b', 'j', 'm', 'j', '1', 'a', 'l']
996:          ['s', 't', 'p', 'u', 'm', '9', '2', '4']
997:          ['u', 'x', 'j', 'p', 'w', 'c', '9', 'u']
998:          ['f', 'r', '4', 'm', 'c', 'r', 'v', 'y']
999:          ['2', 'm', 'i', 'a', 'c', 'i', 'z', 't']
1000:          ['p', 's', 'i', 'j', 'g', '1', 't', 'j']
1001:          ['9', 'j', 'c', 'i', 'v', 'l', '5', 'h']
1002:          ['9', 't', 'z', 'k', '7', 'a', '3', 'w']
1003:          ['1', 'w', 'b', 'o', 's', 'm', 'i', 'a']
1004:          ['8', '7', 'j', 'c', 'h', '5', 'j', '7']
1005:          ['z', 'c', '1', 'f', '6', 'r', 'a', '1']
1006:          ['m', '5', '4', 's', '0', '1', 'a', '3']
1007:          ['7', 'j', '7', 'd', 'i', 'p', 'y', 'w']
1008:          ['s', 'o', 'r', 'g', '4', '5', 'p', 'u']
1009:          ['0', 'z', 'x', '2', 'w', 'j', 'c', 's']
1010:          ['y', 'w', 'q', '9', 'z', 'j', 'x', 'b']
1011:          ['4', 'q', 'p', '2', '9', 'u', 'i', 'l']
1012:          ['a', 'i', 'o', 'u', 'l', 'c', '5', 'd']
1013:          ['c', 'x', 'c', '6', 'k', '6', 'w', 'g']
1014:          ['5', 'q', 'x', 'g', '0', '3', 'f', 'v']
1015:          ['e', 'd', '7', 's', 'x', '4', 'e', 'h']
1016:          ['o', 'u', 't', 'g', 'f', 'b', 'w', 'y']
1017:          ['j', 'd', 'm', 'l', '3', 'c', 'p', 'b']
1018:          ['2', 'f', 'n', 'i', 'm', 'l', 'o', '9']
1019:          ['k', 'q', 'p', '2', 'c', 'n', 'j', 'v']
1020:          ['9', '4', 'q', 'j', '9', 'p', '7', 'p']
1021:          ['e', 'c', '6', '1', 'o', 'd', '5', 'a']
1022:          ['0', '8', '0', 'o', 'q', '9', '5', 'y']
1023:          ['p', 'q', 's', 'k', 's', 'x', 's', 'h']
1024:          ['2', 'i', 'g', '5', 'p', 'u', 's', 'b']
1025:          ['v', '1', 'f', '7', 'i', 'l', 'v', 'f']
1026:          ['5', 'r', 'v', 'b', 'a', '7', 'b', 's']
1027:          ['n', '9', 'v', 'd', 'x', '5', 'd', 'x']
1028:          ['6', 's', 'c', '5', 'c', 'a', 'm', '5']
1029:          ['2', 'm', 'd', 'k', 's', '0', '1', '0']
1030:          ['9', 'v', 's', '7', 'i', 'w', 'z', 'o']
1031:          ['x', 'q', '6', 'k', 'd', 'e', 'p', 'b']
1032:          ['7', 'c', '8', 'o', 'i', '5', '4', '0']
1033:          ['c', '9', 'r', 'h', '6', 'y', 'x', 'q']
1034:          ['e', 'p', 'q', 'j', '7', '4', 'n', 'q']
1035:          ['p', '1', 'p', 'l', 'j', 'k', '6', 'a']
1036:          ['4', 'p', 'k', 'q', '3', '7', 's', 'c']
1037:          ['6', '3', 'l', '1', 'q', 'z', 'i', '2']
1038:          ['d', '3', '0', 'j', 'z', 'b', '8', 'c']
1039:          ['v', '9', 'o', 'e', 'p', 'j', '9', '8']
1040:          ['s', 'm', 't', 'f', 't', 'n', 'l', 'f']
1041:          ['8', 'o', 'e', '4', 'x', 'o', 'l', 'o']
1042:          ['c', 'y', '6', 't', 'v', 'd', 'n', 'd']
1043:          ['r', 't', 'v', 'n', 'x', 'u', 'f', 'c']
1044:          ['j', 'v', 'h', 'z', '3', 'v', 'c', 'a']
1045:          ['r', 'k', 'a', 'c', '6', 'j', '6', '2']
1046:          ['o', 'g', 's', '0', 'w', 's', '8', 'f']
1047:          ['h', '3', 's', 'p', 'o', 'h', 'q', 't']
1048:          ['5', 'd', '7', 'k', 'd', 'i', 's', 'q']
1049:          ['f', '3', 'h', '2', '0', 'n', 'o', '4']
1050:          ['u', 'f', '8', 'i', 'b', 'o', 'z', 'r']
1051:          ['5', '1', '2', 'c', '4', 'c', '6', '3']
1052:          ['w', 'c', '6', 'r', 'd', '6', '3', 'v']
1053:          ['a', 'x', '0', 't', 'n', '3', '7', 'f']
1054:          ['b', 'w', 'v', '9', 'm', 'r', 'e', '7']
1055:          ['q', 'j', 'n', 'p', 'o', 't', 'd', 'g']
1056:          ['x', '6', 'o', 'b', '1', 'z', 'u', 'i']
1057:          ['9', 'f', 'i', 'q', '5', 'j', 'k', 'z']
1058:          ['l', 'q', 'u', 'q', 'x', 'b', 'u', '5']
1059:          ['i', 'o', 'c', '6', '4', 'w', 'o', 'd']
1060:          ['r', 'j', '6', '4', 'i', '9', 'u', '0']
1061:          ['g', 'd', '9', 'o', 'n', 'k', '4', 'j']
1062:          ['z', 'n', 'd', '8', 'g', 'v', 'm', '8']
1063:          ['v', 'o', 'd', 'p', 'o', 'p', 's', 'i']
1064:          ['1', '3', 't', 'o', 'k', '7', 'k', '7']
1065:          ['v', '1', '4', '1', 'y', 'a', 'j', 'o']
1066:          ['d', 'a', '4', 'z', 'l', '5', 'h', 'm']
1067:          ['h', 'c', 'x', 'c', '6', '3', 'o', 'c']
1068:          ['6', '1', 'f', '7', '5', '0', 'y', 's']
1069:          ['8', '6', '5', 'd', 'g', 'm', 'e', 'm']
1070:          ['e', '2', 'u', 'c', 'p', 'b', 'i', 'l']
1071:          ['7', 'p', 'd', 'g', 'o', 'g', 'h', 'a']
1072:          ['9', 'a', 'n', 't', 'y', 't', 'n', '7']
1073:          ['r', 'g', 'b', '0', '5', 'e', 's', 'v']
1074:          ['c', '6', '3', 'w', 'q', 'k', '6', 'n']
1075:          ['b', '0', 'd', 'i', 'r', 's', 'e', 'd']
1076:          ['t', '9', 'c', 'l', 'j', 'k', '7', 'u']
1077:          ['0', 'x', 'd', '0', 'p', 'v', 'p', 't']
1078:          ['e', '6', 'j', 's', 'o', '5', 'y', 'r']
1079:          ['k', '5', 'j', 'd', 'w', 'r', 's', 'f']
1080:          ['9', 'r', 'e', 'c', '5', 'w', 'l', 'd']
1081:          ['v', '7', '4', '0', 'z', 'x', 'c', '5']
1082:          ['u', '9', 'd', 'y', 'k', 'c', '4', 'p']
1083:          ['l', 'p', 'l', 's', 'c', 'h', 'p', 'z']
1084:          ['k', '0', 'l', 'k', 'q', '3', 'u', 'f']
1085:          ['h', 'q', 'g', 'z', '1', '3', 'c', 'd']
1086:          ['y', '6', 'b', 'v', 'c', 'a', 'd', '6']
1087:          ['b', 'a', '4', 'q', '4', '0', '1', 'i']
1088:          ['h', 'y', 'q', 'v', 'f', 'y', 'v', 'l']
1089:          ['d', 'o', 'z', 'm', '1', 'n', 'h', 'b']
1090:          ['w', '2', 'l', 'd', 'p', '3', 'm', 'n']
1091:          ['g', '5', 'u', 'r', 't', '9', 's', 'z']
1092:          ['9', 't', 'b', 'l', '4', 'k', 'c', '3']
1093:          ['y', '8', 'g', '1', 'j', 'f', 'c', '5']
1094:          ['o', 'd', '5', '2', 'a', 'x', 'a', 'e']
1095:          ['1', 'a', 'x', 'f', '9', 'v', 'o', 'b']
1096:          ['i', 'u', 'm', 'n', 'c', 'r', 'j', '4']
1097:          ['p', '4', 'p', 'l', 'h', 'l', 'g', 'y']
1098:          ['3', 'q', 'u', 'i', 'p', 'u', 'p', '2']
1099:          ['g', 'k', 'f', 'j', 'y', '0', 'r', 'l']
1100:          ['u', 'k', 'v', '7', 'v', 'm', 'e', 'c']
1101:          ['a', 'q', 'c', 'a', 'b', '7', 's', '0']
1102:          ['3', '0', '5', '0', 'x', 'y', 'x', 'y']
1103:          ['0', '2', '0', '1', '0', '1', '0', '1']
1104:          ['0', '1', '0', '3', '0', '4', '0', '1']
1105:          ['x', 'y', 'x', 'y', '0', '2', '0', '2']
1106:          ['0', '1', '0', '1', '0', '1', '0', '3']
1107:          ['0', 'w', '0', 'x', 'y', 'x', 'y', '0']
1108:          ['2', '0', '3', '0', 'g', '0', 's', '0']
1109:          ['1', '0', 'c', 'w', '0', '1', '0', '3']
1110:          ['0', '1', '0', '1', '0', '2', '0', 'g']
1111:          ['0', '3', 'v', '0', '4', 'k', 'l', '0']
1112:          ['6', '0', '2', '0', '2', '5', '2', 'h']
1113:          ['6', '1', '2', '0', '3', '0', '1', '0']
1114:          ['3', '0', '4', '0', '1', '0', 's', '0']
1115:          ['1', '0', '1', '0', '1', '0', '2', '0']
1116:          ['1', '0', '1', '0', '2', '8', '0', '2']
1117:          ['p', '0', '1', '0', '2', 'i', '0', '2']
1118:          ['8', '0', '1', '0', '2', 's', '0', '2']
1119:          ['3', '0', '2', '6', '0', '1', '0', '1']
1120:          ['0', '1', '0', '2', '6', '0', '1', '0']
1121:          ['2', '5', '0', '1', '0', '2', '8', '0']
1122:          ['1', '0', '1', '0', '2', 'w', '0', '1']
1123:          ['0', '1', '0', '2', 'j', '0', '1', '0']
1124:          ['1', '0', '2', 'l', '0', '1', '0', '2']
1125:          ['3', '0', '1', '0', '1', '0', '2', '6']
1126:          ['0', '2', 'j', '0', '1', '0', '2', 'v']
1127:          ['0', '1', '0', '2', 'i', '0', '2', 'c']
1128:          ['0', '2', 'e', '0', '1', '0', '1', '0']
1129:          ['1', '0', '1', '0', '2', 'j', '0', '1']
1130:          ['0', '2', '6', '0', '1', '0', '1', '0']
1131:          ['2', 'o', '0', '2', '3', '0', '1', '0']
1132:          ['1', '0', '1', '0', '1', '0', '2', '0']
1133:          ['1', '0', '1', '0', '2', '0', '2', 'a']
1134:          ['0', '2', '3', '0', '1', '0', '2', 'r']
1135:          ['0', '2', '1', '0', '1', '0', '2', 'f']
1136:          ['0', '2', '9', '0', '1', '0', '2', 'p']
1137:          ['0', '2', '0', '1', '0', '2', 'g', '0']
1138:          ['2', 'd', '0', '1', '0', '2', '1', '0']
1139:          ['2', 'e', '0', '2', 'a', '0', '2', '8']
1140:          ['0', '1', '0', '2', 'd', '0', '1', '0']
1141:          ['2', 't', '0', '1', '0', '2', 'b', '0']
1142:          ['2', 'k', '0', '1', '0', '1', '0', '1']
1143:          ['0', '1', '0', '2', '7', '0', '1', '0']
1144:          ['2', '0', '2', 'g', '0', '1', '0', '2']
1145:          ['a', '0', '1', '0', '1', '0', '2', '6']
1146:          ['0', '2', 'h', '0', '1', '0', '1', '0']
1147:          ['1', '0', '2', '7', '0', '1', '0', '2']
1148:          ['f', '0', '1', '0', '1', '0', '2', '7']
1149:          ['0', '1', '0', '1', '0', '2', 'e', '0']
1150:          ['2', 'c', '0', '1', '0', '1', '0', '2']
1151:          ['a', '0', '1', '0', '2', 'i', '0', '1']
1152:          ['0', '2', 'x', '0', '2', 'd', '0', '2']
1153:          ['0', '1', '0', '1', '0', '1', '0', '2']
1154:          ['1', '0', '2', '6', '0', '1', '0', '1']
1155:          ['0', '2', 'q', '0', '2', 'q', '0', '1']
1156:          ['0', '1', '0', '2', '7', '0', '2', '0']
1157:          ['1', '0', '1', '0', '1', '0', '2', 'h']
1158:          ['0', '1', '0', '2', 'a', '0', '1', '0']
1159:          ['1', '0', '1', '0', '2', '9', '0', '1']
1160:          ['0', '1', '0', '2', 'i', '0', 'k', '0']
1161:          ['1', '0', 'x', '0', 's', '0', 'k', '0']
1162:          ['1', '0', 'u', '0', '1', '0', 'w', '0']
1163:          ['y', '0', 'q', '0', '1', '0', 'f', '0']
