['d', 'n', 'c', 'r', 'j', '2', 'f', 'g']
['1', '0', 'x', '0', 's', '0', 'k', '0']
['i', 'y', 'x', '5', '9', 'p', '3', '8']
['b', '7', 'v', 'q', 'd', 'm', 'u', 'n']
['h', 'q', '3', 'i', '6', 'q', 'v', '3']
['t', 'r', 'a', 'r', '9', '7', 'p', '3']
['5', 'g', 'o', 'm', 'v', 't', '7', 's']
['4', 'w', '0', 'u', 'b', '9', 'g', 'u']
['h', 'k', '9', '3', '5', 'h', 'o', 'f']
['u', 'e', '3', 'o', 'i', 'f', 'u', 'v']
['y', 'd', '4', '5', 'n', '9', 'b', 'k']
['m', '3', 'n', 't', 'f', 'd', 'f', 'v']
['z', '0', 'f', 'd', 'f', '7', '0', '9']
['2', 'q', '1', '0', '3', 'y', 'x', 'n']
['g', 't', '8', 'l', '9', 'e', 'v', 'k']
['f', 't', 'g', 'a', 'h', 's', 'v', 'c']
['n', 'x', 'r', 'u', 'f', 'o', '5', 'e']
['2', 'p', 'u', 'z', '9', 'g', 'e', 'b']
['a', '0', '1', '0', '1', '0', '2', '6']
['4', '2', 'd', 't', 'h', 'v', 'r', 't']
['r', 'p', 'c', '5', 'r', 'q', '9', 'p']
['a', 'w', '7', 'f', 'y', 'p', 'x', 't']
['5', 'o', 't', '6', '2', 'g', 'q', '0']
['w', 'e', 'h', 'r', 'e', 'y', 't', '6']
['0', '2', '0', '1', '0', '1', '0', '1']
['7', 'm', '1', 'x', 'r', '2', '4', 'n']
['c', 'q', 'i', 't', 'b', 'o', 'p', 'o']
['b', 'r', '4', 'i', 'j', 'd', 'u', 'l']
['r', 'e', 'w', 't', 'a', 'o', 'u', 'j']
['f', '3', 'h', '2', '0', 'n', 'o', '4']
['i', 'o', 'c', '6', '4', 'w', 'o', 'd']
['k', 'b', 's', '4', 'z', 'x', 'o', 'k']
['g', 'k', 'f', 'j', 'y', '0', 'r', 'l']
['0', '1', '0', '3', '0', '4', '0', '1']
['o', 'b', 'l', 'v', 's', 'c', 'x', 'c']
['n', '9', '8', 'j', 'k', 'e', 'q', 'n']
['5', 'm', 'b', '0', 'g', '6', 'l', 'u']
['q', 'c', 'x', 'c', '6', '3', 'q', 'l']
['e', 'b', 'e', '4', 'v', '0', '8', 'a']
['f', 't', '9', 'd', 'i', 'c', '4', 'b']
['8', '6', '5', 'd', 'g', 'm', 'e', 'm']
['u', 'e', 'f', 'i', '5', '9', 'f', 'l']
['a', 'j', 'r', '5', 'y', 'z', '3', 'b']
['7', 'e', 'l', 'p', 't', 'n', 'z', 'y']
['n', 'p', 'e', 'j', 'h', 'u', 'c', 'y']
['y', 'q', 'b', 'y', 't', 'q', 'g', 'r']
['r', 'j', 'b', 'm', '8', '2', 'b', 's']
['0', '1', '0', '2', 'd', '0', '1', '0']
['o', 'l', 'a', '3', 'c', '5', '1', 'v']
['4', 'p', 'k', 'q', '3', '7', 's', 'c']
['w', '2', 'l', 'd', 'p', '3', 'm', 'n']
['m', 'v', 'c', '6', '3', 'd', 'l', '1']
['p', 'z', '7', 'q', 'b', 'd', 'c', 'a']
['i', 'v', '3', 'c', 'b', 'a', '5', 'i']
['z', '7', 'k', '8', 'a', 'r', 'c', '4']
['x', 'b', 'a', 'y', '2', 'r', 's', '8']
['c', '6', '7', 'd', '1', 'o', 'd', 'v']
['p', '4', 'p', 'l', 'h', 'l', 'g', 'y']
['3', '0', '4', '0', '1', '0', 's', '0']
['1', '0', '1', '0', '1', '0', '2', 'h']
['x', '4', 'v', 'c', '5', '1', 'd', 'i']
['6', 'a', 'v', '0', '2', 'k', '6', 'l']
['q', '8', 'p', '9', 'z', 'o', 'c', '6']
['l', 'j', 'r', '5', 'q', 'y', 'j', 'f']
['b', '6', 'q', 'h', 'i', '8', 'u', 'b']
['4', 'b', 'e', 'l', 'h', '1', 'a', 'q']
['y', 'w', 'd', 'w', 's', '7', 't', 'z']
['6', 'r', 'l', '6', '3', 'm', '5', '1']
['a', 't', 'u', 's', 'e', 'j', 'q', 'z']
['7', 'g', 'w', 'x', '7', 'f', '0', 'o']
['n', 'p', 'c', 'j', 'n', 'p', 'h', 'j']
['b', 'j', 'w', '9', 'x', 'e', '6', 'f']
['2', 'd', '0', '1', '0', '2', '1', '0']
['8', 'r', '5', 'c', 'x', 'k', '5', '1']
['d', 'y', 's', 't', 'q', 'o', 'j', 'u']
['u', 'b', 'o', '7', 'y', 't', 'h', '1']
['b', '2', 'x', '1', 'w', '0', '1', 'u']
['d', 'n', 'f', '9', 'z', 's', 'n', '2']
['a', 's', 't', 'n', 'q', 'j', 'd', '9']
['1', '3', 't', 'o', 'k', '7', 'k', '7']
['k', 'r', 'q', 'u', 'b', 'q', 't', 'k']
['7', 'm', 'u', 'n', 'm', 'j', '6', 'v']
['3', 'b', 'e', 'v', 'k', 'c', 'r', 't']
['b', '2', 'd', 'i', 'a', '0', '8', 'k']
['q', '0', '5', '1', 'u', 'b', 'r', '7']
['c', '9', 'r', 'h', '6', 'y', 'x', 'q']
['r', 'd', '7', 'q', 'w', 'e', 'o', 'm']
['c', 'x', 'c', '6', 'k', '6', 'w', 'g']
['2', 'l', 'y', 'c', 'd', 's', 'v', 'c']
['r', 'v', 'a', 'o', '9', 'a', 's', 'c']
['5', 'g', '2', 'k', 'g', 'h', 'r', 'b']
['a', 's', '2', 'l', '3', 'q', 'k', 't']
['d', '9', 'r', 'p', '8', 'h', '4', 'j']
['f', 'p', 'g', '2', 'k', '3', '5', '1']
['9', '2', 'k', 'z', '7', '6', 'k', 'm']
['9', 'w', 'm', 'o', 'f', 'd', 'j', 'a']
['z', '5', 'w', '5', 'i', 'l', 'f', 'j']
['8', '6', 'b', 'r', 'v', 'm', 'b', 'c']
['0', 'a', '4', '5', 'e', 'd', 'j', '8']
['p', 'q', 's', 'k', 's', 'x', 's', 'h']
['3', '7', '3', '5', 'n', '1', 'y', 'u']
['r', 'k', 'a', 'c', '6', 'j', '6', '2']
['o', 'd', '5', '2', 'a', 'x', 'a', 'e']
['e', '2', 'n', 'v', '2', 'm', 't', '2']
['t', '1', '4', 'c', 'a', 'q', 'l', '3']
['c', 'a', 'o', 'l', '3', 'v', 'o', '0']
['y', '8', 'g', '1', 'j', 'f', 'c', '5']
['3', 'v', '6', 'u', 'e', '8', 'c', '1']
['i', 'l', 'p', 'q', 'f', 'q', 'a', 'u']
['r', 'u', 'f', 'z', 'y', 'q', 'j', 'w']
['6', 'e', 'q', 'm', '7', 's', 'h', 'r']
['p', 'l', 'x', '5', 'r', 'h', 'r', 't']
['r', 'j', '3', 'k', 'a', 's', 'v', 'a']
['s', '6', 'k', 'e', 'r', 'f', 'u', 'r']
['3', 'o', 'l', 'w', '8', 'd', 'g', '8']
['l', '2', 'j', '6', '9', '4', 'a', 'q']
['6', 'z', 'i', '3', 'e', 'l', 'i', 'p']
['u', 'm', 'q', 'l', 'v', 'l', 'q', 'd']
['g', 'h', '8', '0', 'z', '4', 'c', 'g']
['y', '4', '3', 'i', 'h', 'n', 'h', 'b']
['7', 'n', 'j', 's', 'l', 'b', 's', '2']
['w', '2', 'e', '6', 'o', 'j', '9', 'j']
['r', 't', 'v', 'n', 'x', 'u', 'f', 'c']
['a', 'x', '0', 't', 'n', '3', '7', 'f']
['m', '5', '4', 's', '0', '1', 'a', '3']
['1', '0', '1', '0', '2', '8', '0', '2']
['p', 'r', 'e', 'k', 'x', '9', 'u', 'k']
['2', 'd', '0', 'g', '1', 'w', '7', 'd']
['1', '0', '1', '0', '2', '0', '2', 'a']
['k', 'm', '2', 'd', '1', 'o', 'c', 'a']
['2', '5', '0', '1', '0', '2', '8', '0']
['c', 'x', 'c', '5', '2', 'o', 'd', '6']
['v', 'c', 'z', '7', '4', 'b', 'u', 'l']
['5', '1', 'g', 'o', 't', '4', 'y', '5']
['s', 'v', 'i', 'm', 'h', 'v', 'k', '6']
['3', '0', '5', '0', 'x', 'y', 'x', 'y']
['j', 'g', 't', '7', '3', 'e', '7', '2']
['y', 'o', 'c', '5', '3', 'x', 'l', '6']
['j', 's', 'c', '5', 'l', '1', '5', '1']
['e', 'j', 'c', '9', '7', 'g', '1', '2']
['a', '1', 'q', '6', '4', 'm', '6', '2']
['2', 'x', 'e', '0', '1', 'w', 'v', 'u']
['o', 'd', 'e', 'm', '5', '1', 'k', 'e']
['v', 'a', '6', 'b', 'u', '2', '9', '4']
['i', '5', '7', '1', 't', 'c', '6', 'p']
['b', '0', 'g', '3', 'm', 'h', 'b', 'u']
['5', 'c', 'x', 'c', '6', '2', 'd', '6']
['h', 'n', 'j', 'r', 'c', 'x', 'c', 'a']
['a', 'b', 'z', 'm', 'a', 'm', '0', 'm']
['o', '4', '5', 'z', '6', 'u', 'x', '6']
['r', 'j', '6', '4', 'i', '9', 'u', '0']
['r', '9', 'z', '2', 'o', '6', '3', 'o']
['t', '6', 'n', 'k', 'q', 'n', 'm', 'a']
['d', 'a', 'g', 'e', 'f', 'k', '0', 's']
['9', 't', '2', 'm', 'e', 'h', 'e', 'm']
['t', 'd', 't', 's', '7', 'g', 'o', 'e']
['r', 'o', 'q', 'k', 'o', 'd', 'w', 'b']
['n', '8', 'p', 'u', 'z', '9', 'd', 'e']
['s', 'b', 'c', 'a', 's', 'c', 'a', '7']
['g', 'r', 'd', 'j', 'h', 'g', 'i', 'y']
['a', 'i', 'o', 'u', 'l', 'c', '5', 'd']
['f', 'v', 'q', 'i', 'b', 'f', 'r', 'd']
['p', '6', 'z', '3', 'i', '8', 'd', 'j']
['3', 'b', 'u', 'f', 'x', 'n', '9', 'y']
['e', '2', 'u', 'c', 'p', 'b', 'i', 'l']
['5', 'o', 'd', 'a', '3', 'c', '6', 'o']
['0', 'i', 'o', '1', 'k', 'l', '9', '6']
['k', 'q', 'p', '2', 'c', 'n', 'j', 'v']
['c', '6', 'd', '7', 'g', 'k', 'j', '7']
['1', 'u', 'q', 'a', 'o', 'c', '5', '3']
['e', 'c', '6', '7', 'r', 'd', '6', 'l']
['c', '9', 'k', 's', 'k', 'a', 'j', '2']
['t', '8', '3', 's', 'j', '9', '8', 'r']
['m', 'y', 'q', 'j', '2', 'o', '1', 'y']
['b', 'e', 'f', 'r', 'x', 'h', 'r', 'i']
['j', 'r', 'y', 's', 'z', 't', '7', 'x']
['p', '4', 'n', '4', 'h', 'i', '6', 's']
['0', '1', '0', '2', 'j', '0', '1', '0']
['9', 'j', 'o', '7', 'p', '8', 'u', 'k']
['o', 'c', 'p', 'g', '7', 'k', 'p', '4']
['7', 'b', '5', 'b', 'l', '1', 'f', 'd']
['p', 'q', 'i', '7', '0', '2', 'f', 'y']
['3', 'h', '6', 'h', 'l', 'n', 'e', 'u']
['e', 'n', 'd', '6', 'n', '2', 'r', '7']
['6', 'v', 'w', '0', '5', 'g', 'd', '7']
['3', 'x', '9', 'k', '7', 'p', 'e', 'l']
['f', 't', '0', 'n', 'y', 'c', '4', 'o']
['4', 'm', 'd', 'r', 'd', 'a', '3', 'j']
['8', 'e', 'j', 'r', '1', 'f', 'w', 'j']
['6', '3', 'x', 'c', 'z', 'v', 'u', 's']
['z', 'j', 'i', 'c', 'm', 'j', 'f', 'k']
['j', '5', '4', 's', 'd', 'm', 'h', 'z']
['q', 'r', '2', 'j', '4', 'b', '2', '1']
['2', '1', 'e', 'y', '9', 'v', '3', 's']
['v', '9', 'o', 'e', 'p', 'j', '9', '8']
['4', 's', 'j', 'w', 'y', 'z', 'p', 'i']
['a', 'w', 'a', 'h', '3', '0', 'w', 'd']
['e', 'v', 'r', 'i', 'y', 't', 'f', 's']
['q', '9', 'y', 'k', 'z', 'a', 'y', 'e']
['y', '9', 'r', 's', 'n', 'a', 'd', 'a']
['9', 'y', '1', 'h', 'l', 'q', 'y', 'p']
['c', '6', '3', 'r', 'c', '6', 'q', 't']
['c', 'r', 's', 'a', 'y', 'z', 'u', 'l']
['a', 'i', 'v', 'b', 'd', 't', 'r', 'j']
['g', '5', 'g', 'n', 'x', 'c', 't', '5']
['3', 'd', 'v', '7', '0', 'v', 'j', 'y']
['f', 'b', 'e', 'k', 'q', 't', 'd', 'o']
['7', 'r', 'w', '9', 'r', 'o', 'c', 'd']
['h', 'k', 'u', 'd', '5', 'i', '6', 'c']
['t', '0', 'r', 'z', 's', '0', '1', 'c']
['5', 'c', 'a', '2', 'l', '2', 'g', 'r']
['9', 'c', '6', '4', 'q', 'l', 'q', 'c']
['5', 'd', '7', 'k', 'd', 'i', 's', 'q']
['w', '4', '6', 'f', 'h', 'y', 'n', 't']
['o', 'k', '6', 'k', 'r', '2', 'k', '6']
['e', 't', 'b', 'f', '1', 'o', 'z', 'f']
['6', 'd', 'n', 'p', 't', 'm', '3', 'x']
['q', 'c', '6', 'g', 'h', '6', 'i', 'j']
